"Title","RSI:Value Not seasonally Adjusted:Non-store Retailing:All Business Index"
"CDID","J596"
"Source dataset ID","DRSI"
"PreUnit",""
"Unit",""
"Release date","21-08-2026"
"Next release","18 September 2026"
"Important notes",
"1988","15.8"
"1989","16.7"
"1990","17.7"
"1991","17.4"
"1992","17.1"
"1993","17.9"
"1994","18.2"
"1995","17.2"
"1996","17.3"
"1997","17.4"
"1998","17.6"
"1999","17.4"
"2000","18.2"
"2001","17.5"
"2002","17.9"
"2003","16.3"
"2004","18.0"
"2005","18.0"
"2006","18.4"
"2007","19.1"
"2008","20.4"
"2009","21.8"
"2010","24.1"
"2011","27.7"
"2012","30.3"
"2013","35.4"
"2014","39.5"
"2015","43.1"
"2016","50.2"
"2017","59.1"
"2018","65.9"
"2019","75.6"
"2020","98.1"
"2021","103.7"
"2022","97.5"
"2023","100.0"
"2024","102.4"
"2025","105.9"
"1988 Q1","14.5"
"1988 Q2","15.0"
"1988 Q3","15.2"
"1988 Q4","18.4"
"1989 Q1","15.8"
"1989 Q2","15.9"
"1989 Q3","15.9"
"1989 Q4","19.4"
"1990 Q1","16.7"
"1990 Q2","16.8"
"1990 Q3","16.9"
"1990 Q4","20.4"
"1991 Q1","17.0"
"1991 Q2","16.4"
"1991 Q3","16.7"
"1991 Q4","19.5"
"1992 Q1","17.1"
"1992 Q2","15.9"
"1992 Q3","16.5"
"1992 Q4","18.9"
"1993 Q1","18.0"
"1993 Q2","16.7"
"1993 Q3","17.1"
"1993 Q4","19.7"
"1994 Q1","18.2"
"1994 Q2","17.5"
"1994 Q3","17.4"
"1994 Q4","20.0"
"1995 Q1","17.5"
"1995 Q2","16.3"
"1995 Q3","16.5"
"1995 Q4","18.6"
"1996 Q1","17.0"
"1996 Q2","16.3"
"1996 Q3","16.9"
"1996 Q4","19.0"
"1997 Q1","17.1"
"1997 Q2","16.7"
"1997 Q3","16.9"
"1997 Q4","19.1"
"1998 Q1","17.3"
"1998 Q2","16.6"
"1998 Q3","17.0"
"1998 Q4","19.4"
"1999 Q1","17.5"
"1999 Q2","16.5"
"1999 Q3","16.6"
"1999 Q4","19.0"
"2000 Q1","17.5"
"2000 Q2","16.5"
"2000 Q3","17.3"
"2000 Q4","21.7"
"2001 Q1","15.9"
"2001 Q2","16.4"
"2001 Q3","17.4"
"2001 Q4","20.3"
"2002 Q1","16.3"
"2002 Q2","17.0"
"2002 Q3","18.1"
"2002 Q4","20.4"
"2003 Q1","15.1"
"2003 Q2","15.0"
"2003 Q3","15.6"
"2003 Q4","19.5"
"2004 Q1","16.6"
"2004 Q2","17.2"
"2004 Q3","17.3"
"2004 Q4","21.0"
"2005 Q1","17.2"
"2005 Q2","17.2"
"2005 Q3","16.7"
"2005 Q4","20.9"
"2006 Q1","17.1"
"2006 Q2","17.4"
"2006 Q3","17.2"
"2006 Q4","21.8"
"2007 Q1","17.5"
"2007 Q2","18.0"
"2007 Q3","17.7"
"2007 Q4","23.4"
"2008 Q1","19.1"
"2008 Q2","19.1"
"2008 Q3","18.6"
"2008 Q4","25.0"
"2009 Q1","19.3"
"2009 Q2","19.5"
"2009 Q3","21.0"
"2009 Q4","27.3"
"2010 Q1","21.7"
"2010 Q2","21.5"
"2010 Q3","23.0"
"2010 Q4","30.1"
"2011 Q1","24.8"
"2011 Q2","25.1"
"2011 Q3","25.8"
"2011 Q4","34.9"
"2012 Q1","27.4"
"2012 Q2","27.6"
"2012 Q3","27.7"
"2012 Q4","38.7"
"2013 Q1","31.7"
"2013 Q2","32.4"
"2013 Q3","33.1"
"2013 Q4","44.4"
"2014 Q1","35.3"
"2014 Q2","37.6"
"2014 Q3","35.8"
"2014 Q4","49.5"
"2015 Q1","39.3"
"2015 Q2","40.3"
"2015 Q3","40.0"
"2015 Q4","52.8"
"2016 Q1","41.7"
"2016 Q2","45.2"
"2016 Q3","46.3"
"2016 Q4","67.7"
"2017 Q1","50.7"
"2017 Q2","53.6"
"2017 Q3","55.7"
"2017 Q4","76.2"
"2018 Q1","56.5"
"2018 Q2","60.6"
"2018 Q3","62.6"
"2018 Q4","83.8"
"2019 Q1","66.2"
"2019 Q2","69.7"
"2019 Q3","73.0"
"2019 Q4","93.4"
"2020 Q1","71.6"
"2020 Q2","99.0"
"2020 Q3","96.5"
"2020 Q4","127.3"
"2021 Q1","103.9"
"2021 Q2","99.6"
"2021 Q3","91.1"
"2021 Q4","120.2"
"2022 Q1","97.1"
"2022 Q2","93.9"
"2022 Q3","88.3"
"2022 Q4","110.7"
"2023 Q1","93.1"
"2023 Q2","94.7"
"2023 Q3","93.7"
"2023 Q4","118.5"
"2024 Q1","95.5"
"2024 Q2","99.2"
"2024 Q3","96.7"
"2024 Q4","118.3"
"2025 Q1","95.3"
"2025 Q2","100.9"
"2025 Q3","103.4"
"2025 Q4","124.6"
"2026 Q1","105.7"
"2026 Q2","112.9"
"1988 JAN","15.2"
"1988 FEB","14.0"
