"Title","RSI:Value Seasonally Adjusted:Non-store Retailing:All Business Index"
"CDID","J5BI"
"Source dataset ID","DRSI"
"PreUnit",""
"Unit",""
"Release date","21-08-2026"
"Next release","18 September 2026"
"Important notes",
"1988","15.7"
"1989","16.7"
"1990","17.7"
"1991","17.4"
"1992","17.1"
"1993","17.9"
"1994","18.2"
"1995","17.2"
"1996","17.3"
"1997","17.4"
"1998","17.6"
"1999","17.4"
"2000","18.2"
"2001","17.5"
"2002","17.9"
"2003","16.3"
"2004","18.0"
"2005","18.0"
"2006","18.3"
"2007","19.1"
"2008","20.4"
"2009","21.7"
"2010","24.0"
"2011","27.6"
"2012","30.2"
"2013","35.3"
"2014","39.4"
"2015","43.0"
"2016","50.2"
"2017","59.0"
"2018","65.8"
"2019","75.3"
"2020","98.1"
"2021","103.6"
"2022","97.4"
"2023","100.0"
"2024","102.3"
"2025","105.9"
"1988 Q1","15.0"
"1988 Q2","15.7"
"1988 Q3","15.8"
"1988 Q4","16.4"
"1989 Q1","16.4"
"1989 Q2","16.5"
"1989 Q3","16.6"
"1989 Q4","17.3"
"1990 Q1","17.1"
"1990 Q2","17.8"
"1990 Q3","17.6"
"1990 Q4","18.2"
"1991 Q1","17.4"
"1991 Q2","17.1"
"1991 Q3","17.4"
"1991 Q4","17.5"
"1992 Q1","17.2"
"1992 Q2","16.8"
"1992 Q3","17.2"
"1992 Q4","17.0"
"1993 Q1","18.1"
"1993 Q2","17.7"
"1993 Q3","17.9"
"1993 Q4","17.8"
"1994 Q1","18.2"
"1994 Q2","18.6"
"1994 Q3","18.1"
"1994 Q4","18.1"
"1995 Q1","17.5"
"1995 Q2","17.2"
"1995 Q3","17.1"
"1995 Q4","16.9"
"1996 Q1","17.1"
"1996 Q2","17.3"
"1996 Q3","17.5"
"1996 Q4","17.3"
"1997 Q1","17.4"
"1997 Q2","17.5"
"1997 Q3","17.5"
"1997 Q4","17.3"
"1998 Q1","17.4"
"1998 Q2","17.7"
"1998 Q3","17.7"
"1998 Q4","17.4"
"1999 Q1","17.8"
"1999 Q2","17.6"
"1999 Q3","17.2"
"1999 Q4","16.9"
"2000 Q1","18.0"
"2000 Q2","17.6"
"2000 Q3","18.0"
"2000 Q4","19.2"
"2001 Q1","16.6"
"2001 Q2","17.5"
"2001 Q3","18.1"
"2001 Q4","17.8"
"2002 Q1","17.3"
"2002 Q2","17.8"
"2002 Q3","18.7"
"2002 Q4","17.9"
"2003 Q1","16.0"
"2003 Q2","15.9"
"2003 Q3","16.3"
"2003 Q4","17.0"
"2004 Q1","17.5"
"2004 Q2","18.3"
"2004 Q3","18.1"
"2004 Q4","18.1"
"2005 Q1","18.4"
"2005 Q2","18.0"
"2005 Q3","17.6"
"2005 Q4","17.9"
"2006 Q1","18.1"
"2006 Q2","18.3"
"2006 Q3","18.3"
"2006 Q4","18.6"
"2007 Q1","18.5"
"2007 Q2","19.2"
"2007 Q3","19.1"
"2007 Q4","19.7"
"2008 Q1","20.4"
"2008 Q2","20.1"
"2008 Q3","20.0"
"2008 Q4","21.2"
"2009 Q1","20.3"
"2009 Q2","20.9"
"2009 Q3","22.6"
"2009 Q4","23.1"
"2010 Q1","22.9"
"2010 Q2","23.1"
"2010 Q3","24.9"
"2010 Q4","25.2"
"2011 Q1","26.3"
"2011 Q2","27.0"
"2011 Q3","28.1"
"2011 Q4","29.0"
"2012 Q1","29.0"
"2012 Q2","29.7"
"2012 Q3","30.3"
"2012 Q4","32.0"
"2013 Q1","33.7"
"2013 Q2","34.8"
"2013 Q3","36.2"
"2013 Q4","36.6"
"2014 Q1","37.7"
"2014 Q2","40.2"
"2014 Q3","39.3"
"2014 Q4","40.6"
"2015 Q1","42.0"
"2015 Q2","42.9"
"2015 Q3","43.8"
"2015 Q4","43.2"
"2016 Q1","45.9"
"2016 Q2","48.0"
"2016 Q3","51.1"
"2016 Q4","55.7"
"2017 Q1","55.1"
"2017 Q2","57.3"
"2017 Q3","61.0"
"2017 Q4","62.4"
"2018 Q1","61.2"
