K,code,quadrant,L3,L5,L7,L10,L14,L21,L28,L42,L56,L84,L112,L168,L252,SP,WI,DY,GR
0.25,22554,smooth,1.3453125913192947,1.3098609368285334,1.4591312419424134,1.8113753330468432,2.288963987967339,3.4182600773528105,4.301506145251396,6.5490544048130594,7.8220053287494515,12.470287236785556,15.325275805758494,24.452913450794973,36.28954086807049,1.064521873657069,1.4068036097980223,1.1260018908465832,1.049971293510958
0.25,22627,smooth,1.3787155194784502,1.232056926151704,1.2899163680896701,1.555453374185649,1.8097544763786533,2.7256764077886517,3.4997200129294868,4.855253513496297,6.927262545924707,9.102051872726543,12.19794402990173,18.054303833774224,28.416124523680374,1.0848338060486329,1.2586124478154197,1.1665718200980666,1.071954400804907
0.25,20724,smooth,1.3311043871112764,1.2863640287605733,1.212693157392089,1.635545575127307,1.9146689672808586,2.899949343776591,3.7441507807193632,6.0056595977798155,7.971881723962137,12.357436936259496,16.109366949230317,23.789053477878195,38.89085076937192,1.0637274836344572,1.3070293789807625,1.1684908517466623,1.040033075853487
0.25,22741,smooth,1.3384682406669743,1.180164505324974,1.2311587580300924,1.4508175973269877,1.7884358671700773,2.287331437996095,3.2227936063009737,4.403280514352248,6.300824391764609,8.96375633814452,12.648481110131192,15.30232582925446,26.995603599186747,1.0820501616010358,1.3213782316876563,1.1393272707410198,1.0554186306144036
0.25,22027,smooth,2.1877302850671922,1.496116938528622,1.3810898257649296,1.19168505978682,1.2106862582886238,1.4693507888691657,1.8462116422005739,2.4703020440150563,2.9377503225924335,4.843292725511221,6.109656821640719,9.296851835273252,13.641858648031853,1.0875550797587248,1.2548503700731715,1.3599965221418178,1.0974899425684688
0.25,23000,smooth,2.5248080795044774,1.7352866674034808,1.4745486959428804,1.2250263090512061,1.2148926048397672,1.3157216574461987,1.4755674208480263,2.2297437467521277,2.5397347333707256,3.7899229984012073,4.1332724203572,6.769243020121191,9.90508010102126,1.0767016103953884,1.250874737338533,1.4367796760262603,1.0926504215283213
0.25,23109,smooth,1.354183053604793,1.281386151856363,1.5125385382115726,1.6964747061496908,2.463187335855766,3.0322936223894468,3.7720034592835847,6.844204403444181,6.63190656840797,11.478997954182242,16.588775616509047,17.807282328765687,40.16140169224657,1.0324910617735064,1.4329290678540934,1.0870225458489287,1.0561701399772447
0.25,21224,smooth,2.20068391562294,1.669578114700066,1.451137112722478,1.2434492419248506,1.1908371786420562,1.3202867501647984,1.5628707976268943,2.045154911008571,2.3581493078444273,3.8358190507580825,4.899555042847709,6.5797214897824565,11.127554383651967,1.054136453526697,1.2656147000659181,1.1640161502966373,1.1500494396835854
0.25,22411,smooth,1.2704097211265166,1.4433601710264028,1.6008337981595115,2.4508950218783103,3.16316354399775,4.496916591294459,6.357438959619009,9.442851269697702,13.23950052112384,19.75845098435738,26.196209240670285,40.7338934951743,54.97350646349131,1.0688621277409003,1.4040472100429113,1.1083008695768117,1.0328234690181313
0.25,23322,smooth,1.2159416703721138,1.2951681590780972,1.2987960863037376,1.91137997049286,2.073144594295411,3.6257430274029447,4.133494698575062,7.197634591448883,9.073937156858555,14.724504508862376,15.998399991069729,31.50730887800304,34.42245631138405,1.048407712043044,1.3493191589906548,1.1540492319026892,1.0468318892942658
0.25,21652,smooth,1.5650216422861833,1.2639529556728064,1.1570803450127956,1.090565858898613,1.3953982496603583,1.4998380777858518,1.877357745410887,2.779947710972796,3.7744818489147254,5.941909418343801,6.9122579065432435,10.877444630501406,19.69098527692645,1.068386464882627,1.0991911787937192,1.1572778111276103,1.1729329247101195
0.25,22993,smooth,1.2444413171967357,1.333633549113426,1.5588798198705334,1.9671263720799317,2.5902617506332675,3.8541232761046995,4.676217281170841,7.463270475654387,9.60779622853927,13.207627357162968,17.999831128623708,26.21381930762737,34.58072051787223,1.0931325640303973,1.3013791162397979,1.1210244863495642,1.0462707571066707
