SAP key,SAP procedure,family,status,F&O equivalent,items,fill_sap,cost_sap,"best substitute, tuned per item",tuned vs SAP %,one setting (Per period 10d),one setting vs SAP %,most common tuned choice
EX,Lot-for-lot order quantity,Static,Exact,Per requirement,200,0.9996454483268653,157.7238525591414,51.48735929415501,-67.35600959604452,63.56268014535306,-59.70002056504479,Per period 14d
FX,Fixed lot size,Static,No equivalent,none,200,1.0,80.90086654905743,51.48735929415501,-36.35746872632863,63.56268014535306,-21.431397639221416,Per period 14d
HB,Replenish to maximum stock level,Static,Exact,Min/Max,18,0.982765413841499,82.88884971504955,45.95396667026848,-44.5595314348717,82.56097444215528,-0.39556016764789376,Per period 21d
TB,Daily lot size,Period,Exact,Per period 1d,200,0.9996454483268653,157.7238525591414,51.48735929415501,-67.35600959604452,63.56268014535306,-59.70002056504479,Per period 14d
WB,Weekly lot size,Period,Approximate,none,200,0.999646699508348,65.06941415420691,51.48735929415501,-20.87317833823433,63.56268014535306,-2.3155794906698617,Per period 14d
MB,Monthly lot size,Period,Approximate,none,199,0.9982232599448098,80.21628506523001,51.72231723824852,-35.521425361210454,63.85022336181551,-20.402417900686878,Per period 14d
SP,Part Period Balancing,Optimum,No equivalent,none,200,0.9994003020296535,49.82265516143609,51.48735929415501,3.341259367500439,63.56268014535306,27.577865811037867,Per period 14d
WI,Sliding Economic Lot Size,Optimum,No equivalent,none,200,0.9995268780758694,59.41301301069647,51.48735929415501,-13.339928939666052,63.56268014535306,6.984441495854633,Per period 14d
DY,Dynamic Planning Calculation,Optimum,No equivalent,none,200,0.9992831849000677,58.69917942162848,51.48735929415501,-12.286066344593868,63.56268014535306,8.285466290407058,Per period 14d
GR,Groff Reorder Procedure,Optimum,No equivalent,none,200,0.9982636736537099,51.494374189557696,51.48735929415501,-0.013622644246263945,63.56268014535306,23.436163941657615,Per period 14d
