case,config,who,fill,cover_days,orders_per_year,cost,cost_index
Fast-moving distributor,Calendar bucket 28d,SAP only,0.9997496677331915,14.421587085172202,12.799551569506727,132.33097364281903,1.7926965470417602
Fast-moving distributor,Calendar bucket 7d,SAP only,0.9999976293394336,5.053713685207385,36.336322869955154,100.31614251609913,1.3589894893886687
Fast-moving distributor,DY Dynamic Planning Calculation,SAP only,0.9999936133644942,18.08959684019883,10.26255605381166,88.58894151802423,1.200120313435512
Fast-moving distributor,GR Groff Reorder Procedure,SAP only,0.9999937415555056,6.063681096133267,23.700448430493275,74.30247702635003,1.006580623832776
Fast-moving distributor,Min/Max,Both,0.8891712531148366,15.302734262827885,10.164349775784753,129.16970390182962,1.749870614511135
Fast-moving distributor,Per period 14d,Both,1.0,8.843624859477211,17.829895366218235,95.35470613253749,1.2917765789994087
Fast-moving distributor,Per period 28d,Both,0.9999944996517164,16.218421349913996,9.646038863976083,138.0775337971461,1.8705455816437127
Fast-moving distributor,Per period 56d,Both,0.9999948161854362,29.508641030471793,4.953961136023917,233.82681404887492,3.167667482615403
Fast-moving distributor,Per period 7d,Both,1.0,5.454361248723632,33.48288490284006,97.24298794075666,1.3173572588980786
Fast-moving distributor,Per requirement,Both,0.9999976293394336,2.81181523632049,144.94155455904334,280.5218744613046,3.8002485878615184
Fast-moving distributor,SP Part Period Balancing,SAP only,0.9999958830610507,8.859857754595293,18.555530642750373,73.81671697933852,1.0
Fast-moving distributor,Short 7d / long 28d,SAP only,0.9999976293394336,5.053713685207385,36.336322869955154,100.31614251609913,1.3589894893886687
Fast-moving distributor,Short 7d / long 56d,SAP only,0.9999976293394336,5.053713685207385,36.336322869955154,100.31614251609913,1.3589894893886687
Fast-moving distributor,WI Sliding Economic Lot Size,SAP only,0.9999928485213436,11.223954732384495,18.44641255605381,86.88064973067725,1.1769779703829872
Long-lead importer,Calendar bucket 28d,SAP only,0.9837828568847093,139.6664027727301,15.964669051878355,174.36105569494472,1.2847585410298936
Long-lead importer,Calendar bucket 7d,SAP only,0.9695367603107883,136.47411783048864,28.73640429338104,182.6114628969942,1.3455506776544421
Long-lead importer,DY Dynamic Planning Calculation,SAP only,0.9896830687269065,186.39315561722998,11.269946332737032,191.45136326333215,1.4106864240069763
Long-lead importer,GR Groff Reorder Procedure,SAP only,0.9790050673844631,135.833968815209,22.513774597495527,161.75451860636326,1.1918687834357342
Long-lead importer,Min/Max,Both,0.8311443054549228,60.252321775523676,6.6796958855098385,135.71503915060387,1.0
Long-lead importer,Per period 14d,Both,0.9811311309848335,134.2143908448198,19.033542039355993,173.463997601467,1.278148675984044
Long-lead importer,Per period 28d,Both,0.987053388468871,138.3128464727819,12.729293381037566,177.84463429565855,1.310426872428657
Long-lead importer,Per period 56d,Both,0.9913172882584286,161.11457560147198,7.691771019677997,232.59341386657394,1.7138366928403823
Long-lead importer,Per period 7d,Both,0.9737131795757832,136.78516012239282,25.876475849731666,179.87501521031777,1.325387490849185
Long-lead importer,Per requirement,Both,0.9629252819777568,153.9170673153655,54.02195885509839,248.61826206098837,1.8319138661198413
Long-lead importer,SP Part Period Balancing,SAP only,0.9872460982503458,155.75011823089903,16.663327370304113,159.4914314349726,1.1751934968532405
Long-lead importer,Short 7d / long 28d,SAP only,0.9837880808872557,143.38703608894377,14.782826475849731,176.1668245878565,1.2980641326888098
Long-lead importer,Short 7d / long 56d,SAP only,0.9859905369571959,147.55996967449312,13.130858676207513,188.70537944355016,1.3904529713478737
Long-lead importer,WI Sliding Economic Lot Size,SAP only,0.9885295084030112,184.4425235039329,12.680322003577817,209.0267589917542,1.54018862095155
Seasonal wholesaler,Calendar bucket 28d,SAP only,0.9972115910623601,23.722999929866756,10.473043818466353,79.8659824052391,1.5992234698143084
Seasonal wholesaler,Calendar bucket 7d,SAP only,0.999646699508348,16.34174329496796,23.982042253521126,65.06941415420691,1.3029393885681275
Seasonal wholesaler,DY Dynamic Planning Calculation,SAP only,0.9991672516246717,54.50291680079213,6.723082942097027,58.688343255667625,1.1751658605131632
Seasonal wholesaler,GR Groff Reorder Procedure,SAP only,0.9979419218988574,18.86482654852896,16.419287949921753,51.50938604379862,1.0314155864132295
Seasonal wholesaler,Min/Max,Both,0.8551321451695454,31.735901510509755,7.565610328638497,103.17645108895768,2.06598851155915
Seasonal wholesaler,Per period 14d,Both,0.9986468985365505,20.540348556095836,13.494718309859154,65.04787823509649,1.3025081568190373
