case,config,who,code,price,quadrant,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
Fast-moving distributor,Per requirement,Both,22554,1.65,smooth,450.09023055962336,0.38416089080786275,0.6006395452122935,1.0,1.0662441092382813,238.96860986547085,438,13372.52774018945,669
Fast-moving distributor,Per period 7d,Both,22554,1.65,smooth,131.2799291897603,0.1012384956254971,0.8257645968489342,1.0,4.2578336152612675,45.28400597907324,83,53400.52774018945,669
Fast-moving distributor,Per period 14d,Both,22554,1.65,smooth,133.09223055962335,0.057266219747755934,0.9316081330868762,1.0,8.033474113879898,22.91479820627803,42,100753.52774018946,669
Fast-moving distributor,Per period 28d,Both,22554,1.65,smooth,204.12293954503608,0.03681399840927167,0.9818181818181818,1.0,15.973332053961476,12.548579970104633,23,200332.9482846611,669
Fast-moving distributor,Per period 56d,Both,22554,1.65,smooth,317.7703243692443,0.01988410407908192,0.9943181818181818,1.0,27.05424430367636,6.001494768310912,11,339306.57089325506,669
Fast-moving distributor,Min/Max,Both,22554,1.65,smooth,173.5016805383062,0.05601636177707079,0.9939516129032258,0.9322426433170358,13.361016865397275,12.002989536621824,22,167570.04059539927,669
Fast-moving distributor,SP Part Period Balancing,SAP only,22554,1.65,smooth,107.40925139067832,0.08839904556300421,0.9142185663924794,1.0,4.62200082035821,30.00747384155456,55,57967.80835635633,669
Fast-moving distributor,WI Sliding Economic Lot Size,SAP only,22554,1.65,smooth,131.46165482994712,0.09192137257129872,0.9277522935779816,1.0,6.743195561324496,30.00747384155456,55,84571.22428160816,669
Fast-moving distributor,DY Dynamic Planning Calculation,SAP only,22554,1.65,smooth,131.87909606624274,0.04794909669355755,0.9612756264236902,1.0,8.984773739379913,16.367713004484305,30,112684.45473993514,669
Fast-moving distributor,GR Groff Reorder Procedure,SAP only,22554,1.65,smooth,107.34902508017129,0.09623906374275651,0.8832116788321168,1.0,3.646593354614415,36.00896860986547,66,45734.52774018945,669
Fast-moving distributor,Calendar bucket 7d,SAP only,22554,1.65,smooth,129.78198398428088,0.10226110669242132,0.8035714285714286,1.0,3.861157343839654,46.92077727952167,86,48425.52774018945,669
Fast-moving distributor,Calendar bucket 28d,SAP only,22554,1.65,smooth,186.67017501640274,0.03408703556414044,0.9202453987730062,0.9999851858252063,13.905019799642742,15.822122571001495,29,174392.76933632424,669
Fast-moving distributor,Short 7d / long 28d,SAP only,22554,1.65,smooth,129.78198398428088,0.06010680604476764,0.7546362339514978,1.0,3.861157343839654,46.92077727952167,86,48425.52774018945,669
Fast-moving distributor,Short 7d / long 56d,SAP only,22554,1.65,smooth,129.78198398428088,0.04033632541756618,0.6736242884250474,1.0,3.861157343839654,46.92077727952167,86,48425.52774018945,669
Fast-moving distributor,Per requirement,Both,22627,8.5,smooth,337.38732051828646,0.12316782183842745,0.2595785440613027,1.0,1.7741049442891903,177.3168908819133,325,2659.630581867388,669
Fast-moving distributor,Per period 7d,Both,22627,8.5,smooth,103.81197805253305,0.061583910919213725,0.5995575221238938,1.0,4.842532115855375,38.191330343796714,70,7259.630581867388,669
Fast-moving distributor,Per period 14d,Both,22627,8.5,smooth,95.55143010732758,0.03897284399500057,0.6971544715447154,1.0,8.242482831827733,20.732436472346787,38,12356.630581867388,669
Fast-moving distributor,Per period 28d,Both,22627,8.5,smooth,128.36923339822346,0.02613339393250767,0.8646616541353384,1.0,15.520579490681696,10.911808669656203,20,23267.51187667739,669
Fast-moving distributor,Per period 56d,Both,22627,8.5,smooth,230.18086452051946,0.01806612884899443,0.9190751445086706,0.9998769242852558,31.39095778343695,6.001494768310912,11,47059.420911758585,669
Fast-moving distributor,Min/Max,Both,22627,8.5,smooth,130.15384025061638,0.05340302238382002,0.9853249475890985,0.8857053205467632,15.632950434349342,11.457399103139014,21,23435.97158322057,669
Fast-moving distributor,SP Part Period Balancing,SAP only,22627,8.5,smooth,86.41278263266344,0.06192478127485513,0.8245083207261724,1.0,6.503992698308197,22.369207772795217,41,9750.391565248327,669
Fast-moving distributor,WI Sliding Economic Lot Size,SAP only,22627,8.5,smooth,96.60825754640297,0.06658334280195433,0.8480463096960926,1.0,7.964182771467279,22.369207772795217,41,11939.420002610048,669
Fast-moving distributor,DY Dynamic Planning Calculation,SAP only,22627,8.5,smooth,103.37462752789689,0.03442790591978184,0.8911764705882353,1.0,11.511208084278163,12.548579970104633,23,17256.905322166094,669
Fast-moving distributor,GR Groff Reorder Procedure,SAP only,22627,8.5,smooth,86.5255200046209,0.061583910919213725,0.7140974967061924,1.0,4.65828633162364,29.46188340807175,54,6983.420471580369,669
Fast-moving distributor,Calendar bucket 7d,SAP only,22627,8.5,smooth,104.0799232580125,0.06067492330416998,0.5476923076923077,1.0,4.164809940570322,40.91928251121076,75,6243.630581867388,669
Fast-moving distributor,Calendar bucket 28d,SAP only,22627,8.5,smooth,121.70430361660391,0.024656289058061585,0.7457044673539519,0.9996616399404823,13.70671550682195,14.185351270553065,26,20548.276952976717,669
Fast-moving distributor,Short 7d / long 28d,SAP only,22627,8.5,smooth,104.0799232580125,0.05294852857629815,0.752827140549273,1.0,4.164809940570322,40.91928251121076,75,6243.630581867388,669
Fast-moving distributor,Short 7d / long 56d,SAP only,22627,8.5,smooth,104.0799232580125,0.035791387342347464,0.6702127659574468,1.0,4.164809940570322,40.91928251121076,75,6243.630581867388,669
Fast-moving distributor,Per requirement,Both,20724,0.85,smooth,515.0,0.5389160322690604,0.6969875091844232,1.0,0.0,280.97907324364724,515,0.0,669
Fast-moving distributor,Per period 7d,Both,20724,0.85,smooth,126.8221095890411,0.11635041472559936,0.8139904610492846,1.0,2.395441032546962,51.285500747384155,94,70471.0,669
Fast-moving distributor,Per period 14d,Both,20724,0.85,smooth,125.90704109589042,0.06510623792750823,0.8967136150234741,1.0,5.685853996043236,26.18834080717489,48,167271.0,669
Fast-moving distributor,Per period 28d,Both,20724,0.85,smooth,211.00421660379502,0.04101806612884899,0.9972375690607734,1.0,13.648043325697687,13.094170403587444,24,401509.05329638335,669
Fast-moving distributor,Per period 56d,Both,20724,0.85,smooth,405.24288274635694,0.021588455857288944,0.9895833333333334,1.0,28.69986569669477,6.547085201793722,12,844315.6011907074,669
Fast-moving distributor,Min/Max,Both,20724,0.85,smooth,204.1847754648081,0.057493466651516875,0.9980276134122288,0.9393671979313295,13.369290797591388,11.457399103139014,21,393308.4884979703,669
Fast-moving distributor,SP Part Period Balancing,SAP only,20724,0.85,smooth,117.61016438356165,0.11385069878422907,0.9175824175824175,1.0,3.6936585108718556,36.554559043348284,67,108663.0,669
Fast-moving distributor,WI Sliding Economic Lot Size,SAP only,20724,0.85,smooth,129.71423751240997,0.10351096466310647,0.922998986828774,1.0,4.723009637959884,35.46337817638266,65,138945.27465899783,669
Fast-moving distributor,DY Dynamic Planning Calculation,SAP only,20724,0.85,smooth,151.3256946711506,0.05408476309510283,0.9655172413793104,1.0,8.708692671841002,17.458893871449924,32,256199.2856174704,669
Fast-moving distributor,GR Groff Reorder Procedure,SAP only,20724,0.85,smooth,112.53794520547945,0.11794114305192592,0.8737373737373737,1.0,2.520667079628783,42.55605381165919,78,74155.0,669
