factor,assumed_K,config,who,code,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
1.0,1.0,Per period 7d,Both,22554,125.81290278700314,0.13533921933085502,0.9748953974895398,1.0,3.8606251916345378,47.98122065727699,84,46247.6045977459,639
1.0,1.0,Per period 14d,Both,22554,137.37988733473458,0.08805762081784387,0.9895561357702349,1.0,8.252530239952389,27.417840375586856,48,98859.5723550852,639
1.0,1.0,Per period 28d,Both,22554,198.2779834242685,0.04821096654275093,1.0,1.0,16.091252419914102,13.708920187793428,24,192762.0119692667,639
1.0,1.0,Per period 56d,Both,22554,318.22974863554674,0.027067843866171004,0.9957264957264957,1.0,28.182153791650858,7.42566510172144,13,337602.6007635593,639
1.0,1.0,SP Part Period Balancing,SAP only,22554,113.19656041256835,0.11942379182156133,0.9961240310077519,1.0,4.819358203182964,34.84350547730829,61,57732.559244204385,639
1.0,1.0,WI Sliding Economic Lot Size,SAP only,22554,130.10150002073118,0.12616171003717472,0.9990800367985281,1.0,6.934193121834613,31.41627543035994,55,83066.81062899054,639
1.0,1.0,DY Dynamic Planning Calculation,SAP only,22554,127.58735958470741,0.057736988847583645,0.9959919839679359,1.0,8.825672072909908,18.278560250391237,32,105725.41287399456,639
1.0,1.0,GR Groff Reorder Procedure,SAP only,22554,109.89659836955752,0.12860130111524162,0.991047448522829,1.0,3.3143671623434234,42.26917057902973,74,39703.813348146956,639
0.5,0.5,Per period 7d,Both,22554,125.81290278700314,0.13533921933085502,0.9748953974895398,1.0,3.8606251916345378,47.98122065727699,84,46247.6045977459,639
0.5,0.5,Per period 14d,Both,22554,137.37988733473458,0.08805762081784387,0.9895561357702349,1.0,8.252530239952389,27.417840375586856,48,98859.5723550852,639
0.5,0.5,Per period 28d,Both,22554,198.2779834242685,0.04821096654275093,1.0,1.0,16.091252419914102,13.708920187793428,24,192762.0119692667,639
0.5,0.5,Per period 56d,Both,22554,318.22974863554674,0.027067843866171004,0.9957264957264957,1.0,28.182153791650858,7.42566510172144,13,337602.6007635593,639
0.5,0.5,SP Part Period Balancing,SAP only,22554,113.74733030732074,0.16647304832713755,0.9937586685159501,1.0,3.023592238674155,46.267605633802816,81,36220.532006582034,639
0.5,0.5,WI Sliding Economic Lot Size,SAP only,22554,125.71201066247004,0.1725139405204461,0.9893404397068621,1.0,4.497626401512526,43.98278560250391,77,53878.43603576231,639
0.5,0.5,DY Dynamic Planning Calculation,SAP only,22554,111.17699509233958,0.08712825278810409,0.9907529722589168,1.0,5.74086125558918,27.98904538341158,49,68771.52487486044,639
0.5,0.5,GR Groff Reorder Procedure,SAP only,22554,117.12151087019157,0.16740241635687733,0.986986301369863,1.0,2.319493057237073,52.550860719874805,92,27785.91353824219,639
2.0,2.0,Per period 7d,Both,22554,125.81290278700314,0.13533921933085502,0.9748953974895398,1.0,3.8606251916345378,47.98122065727699,84,46247.6045977459,639
2.0,2.0,Per period 14d,Both,22554,137.37988733473458,0.08805762081784387,0.9895561357702349,1.0,8.252530239952389,27.417840375586856,48,98859.5723550852,639
2.0,2.0,Per period 28d,Both,22554,198.2779834242685,0.04821096654275093,1.0,1.0,16.091252419914102,13.708920187793428,24,192762.0119692667,639
2.0,2.0,Per period 56d,Both,22554,318.22974863554674,0.027067843866171004,0.9957264957264957,1.0,28.182153791650858,7.42566510172144,13,337602.6007635593,639
2.0,2.0,SP Part Period Balancing,SAP only,22554,115.98432055411128,0.08933550185873607,0.9987012987012988,1.0,6.738711922510063,24.561815336463223,43,80725.08182500186,639
2.0,2.0,WI Sliding Economic Lot Size,SAP only,22554,147.0734149813333,0.10095260223048327,0.9965596330275229,1.0,9.609197660901456,24.561815336463223,43,115111.50444905045,639
2.0,2.0,DY Dynamic Planning Calculation,SAP only,22554,173.79857775363462,0.039962825278810406,1.0,1.0,14.015707455549727,12.566510172143975,22,167898.42690932314,639
2.0,2.0,GR Groff Reorder Procedure,SAP only,22554,107.93909498299891,0.10211431226765799,0.9909808342728298,1.0,4.610924267107403,33.129890453834115,58,55235.66566301395,639
1.0,1.0,Per period 7d,Both,22627,102.46951308764616,0.10315985130111524,0.8862275449101796,0.9999683751528443,4.718644012481447,40.55555555555556,71,6756.689574700499,639
1.0,1.0,Per period 14d,Both,22627,100.4199977229054,0.06203531598513011,0.9081632653061225,1.0,8.759689789181492,23.990610328638496,42,12543.117158153218,639
1.0,1.0,Per period 28d,Both,22627,135.6167765764538,0.0362453531598513,0.9483282674772037,1.0,17.036079364074656,12.566510172143975,22,24394.190264944486,639
1.0,1.0,Per period 56d,Both,22627,228.083051229635,0.02137546468401487,0.968421052631579,1.0,32.70010187454644,5.712050078247262,10,46823.71394048045,639
1.0,1.0,SP Part Period Balancing,SAP only,22627,86.04799553124738,0.09200743494423792,0.9850746268656716,1.0,6.15487369627978,25.704225352112676,45,8813.246099356053,639
1.0,1.0,WI Sliding Economic Lot Size,SAP only,22627,98.63373242754088,0.09096189591078067,0.969059405940594,1.0,8.641794541871477,23.419405320813773,41,12374.30137414848,639
1.0,1.0,DY Dynamic Planning Calculation,SAP only,22627,107.0329544001687,0.04170539033457249,0.9782016348773842,1.0,12.450238808200986,13.708920187793428,24,17827.66373885975,639
1.0,1.0,GR Groff Reorder Procedure,SAP only,22627,88.61796316422902,0.09328531598513011,0.9447058823529412,1.0,4.740903113315618,32.55868544600939,57,6788.562679378585,639
0.5,0.5,Per period 7d,Both,22627,102.46951308764616,0.10315985130111524,0.8862275449101796,0.9999683751528443,4.718644012481447,40.55555555555556,71,6756.689574700499,639
