config,who,absolute,relative,rank_abs,rank_rel,rank_moved
Per period 56d,Both,0.013587941449814128,0.010628485130111524,1.0,1.0,0.0
Calendar bucket 28d,SAP only,0.02110943308550186,0.013274279739776951,2.0,2.0,0.0
DY Dynamic Planning Calculation,SAP only,0.021572374535315984,0.016520097583643124,3.0,3.0,0.0
Per period 28d,Both,0.022556923791821563,0.01739718866171004,4.0,4.0,0.0
Short 7d / long 56d,SAP only,0.02381796003717472,0.023659386617100372,5.0,5.0,0.0
Min/Max,Both,0.0297885687732342,0.02719040427509294,6.0,6.0,0.0
Per period 14d,Both,0.03634409851301115,0.02770504182156134,7.0,7.0,0.0
Short 7d / long 28d,SAP only,0.03831029275092937,0.038794725836431225,8.0,13.0,5.0
SP Part Period Balancing,SAP only,0.041729205390334576,0.03355018587360595,9.0,8.0,1.0
WI Sliding Economic Lot Size,SAP only,0.041879065985130116,0.03395910780669145,10.0,9.0,1.0
GR Groff Reorder Procedure,SAP only,0.04833294609665427,0.038343982342007435,11.0,10.0,1.0
Per period 7d,Both,0.053745934014869885,0.0384189126394052,12.0,12.0,0.0
Calendar bucket 7d,SAP only,0.054251277881040894,0.03837070167286245,13.0,11.0,2.0
Per requirement,Both,0.16513475836431227,0.1573942843866171,14.0,14.0,0.0
