config,who,absolute,relative,rank_abs,rank_rel,rank_moved
Per requirement,Both,0.5972535355844539,0.7007423090008481,1.0,6.0,5.0
Calendar bucket 7d,SAP only,0.7059151379695163,0.6074091766394789,2.0,2.0,0.0
Per period 7d,Both,0.7327251389693514,0.631546110273991,3.0,3.0,0.0
Per period 14d,Both,0.7875690165729948,0.6730974406843434,4.0,4.0,0.0
Calendar bucket 28d,SAP only,0.7941555121016445,0.5611756224944588,5.0,1.0,4.0
Per period 28d,Both,0.8429187607012638,0.6915433480765871,6.0,5.0,1.0
GR Groff Reorder Procedure,SAP only,0.8455169994099205,0.7387596405879883,7.0,9.0,2.0
Per period 56d,Both,0.8911992691074828,0.7197782223310759,8.0,8.0,0.0
Short 7d / long 28d,SAP only,0.9016925740529735,0.9357622541005424,9.0,14.0,5.0
DY Dynamic Planning Calculation,SAP only,0.9037161789801754,0.7186138647761959,10.0,7.0,3.0
WI Sliding Economic Lot Size,SAP only,0.9133530233839715,0.7692240457420121,11.0,11.0,0.0
Min/Max,Both,0.9133892543699049,0.8490356444865047,12.0,12.0,0.0
Short 7d / long 56d,SAP only,0.9140881894848546,0.9185527423193405,13.0,13.0,0.0
SP Part Period Balancing,SAP only,0.9241716786707922,0.7654056232715579,14.0,10.0,4.0
