case,code,quadrant,L,price,cost,PCR,order_churn,fill,cover_days,orders_per_year,n_orders,unit_days,measured_days
Fast-moving distributor,22554,smooth,3,1.65,189.96938124455485,0.1811157822974662,0.7565258661604176,1.0,2.0256824155732116,91.1136023916293,167,25405.52774018945,669
Fast-moving distributor,22554,smooth,5,1.65,143.00031275140415,0.12248608112714464,0.7903225806451613,1.0,3.174887460799286,58.37817638266069,107,39818.52774018945,669
Fast-moving distributor,22554,smooth,7,1.65,131.2799291897603,0.1012384956254971,0.8257645968489342,1.0,4.2578336152612675,45.28400597907324,83,53400.52774018945,669
Fast-moving distributor,22554,smooth,10,1.65,125.58442234044526,0.07260538575161914,0.8850415512465374,1.0,6.0484980782937505,31.09865470852018,57,75858.52774018946,669
Fast-moving distributor,22554,smooth,14,1.65,133.09223055962335,0.057266219747755934,0.9316081330868762,1.0,8.033474113879898,22.91479820627803,42,100753.52774018946,669
Fast-moving distributor,22554,smooth,21,1.65,160.85441705445908,0.04306328826269742,0.974293059125964,1.0,11.628313849603256,15.822122571001495,29,145838.97643902292,669
Fast-moving distributor,22554,smooth,28,1.65,204.12293954503608,0.03681399840927167,0.9818181818181818,1.0,15.973332053961476,12.548579970104633,23,200332.9482846611,669
Fast-moving distributor,22554,smooth,42,1.65,276.7116589673591,0.02726962845131235,0.9795918367346939,1.0,22.992305168442268,8.729446935724962,16,288362.8955245032,669
Fast-moving distributor,22554,smooth,56,1.65,317.7703243692443,0.01988410407908192,0.9943181818181818,1.0,27.05424430367636,6.001494768310912,11,339306.57089325506,669
Fast-moving distributor,22554,smooth,84,1.65,530.5285359250083,0.016589023974548346,0.9798657718120806,1.0,45.99388956954925,4.910313901345291,9,576842.1685231152,669
Fast-moving distributor,22554,smooth,112,1.65,613.071333988059,0.011930462447449153,0.9813084112149533,1.0,53.44976561498157,3.819133034379671,7,670351.6269867925,669
Fast-moving distributor,22627,smooth,3,8.5,157.83800544979331,0.08885353937052608,0.44305949008498585,1.0,2.6979683426846615,75.83707025411061,139,4044.630581867388,669
Fast-moving distributor,22627,smooth,5,8.5,117.40184106623167,0.07169639813657538,0.5434969853574505,1.0,3.781256544124549,49.648729446935725,91,5668.630581867388,669
Fast-moving distributor,22627,smooth,7,8.5,103.81197805253305,0.061583910919213725,0.5995575221238938,1.0,4.842532115855375,38.191330343796714,70,7259.630581867388,669
Fast-moving distributor,22627,smooth,10,8.5,96.26622462787552,0.04760822633791614,0.6536661466458659,1.0,6.626222171674502,27.279521674140508,50,9933.630581867388,669
Fast-moving distributor,22627,smooth,14,8.5,95.55143010732758,0.03897284399500057,0.6971544715447154,1.0,8.242482831827733,20.732436472346787,38,12356.630581867388,669
Fast-moving distributor,22627,smooth,21,8.5,115.18383040502218,0.031132825815248268,0.8154761904761905,1.0,12.91607649776223,13.639760837070254,25,19362.99888107829,669
Fast-moving distributor,22627,smooth,28,8.5,128.36923339822346,0.02613339393250767,0.8646616541353384,1.0,15.520579490681696,10.911808669656203,20,23267.51187667739,669
Fast-moving distributor,22627,smooth,42,8.5,170.05929274165393,0.02136120895352801,0.8867924528301887,1.0,22.207503027378394,8.183856502242152,15,33292.14226511981,669
Fast-moving distributor,22627,smooth,56,8.5,230.18086452051946,0.01806612884899443,0.9190751445086706,0.9998769242852558,31.39095778343695,6.001494768310912,11,47059.420911758585,669
Fast-moving distributor,22627,smooth,84,8.5,296.8139546455938,0.013293943870014771,0.9669421487603306,0.999819947863482,41.506988464675224,3.819133034379671,7,62224.76085037748,669
Fast-moving distributor,22627,smooth,112,8.5,382.93987917368037,0.009544369957959323,0.9655172413793104,1.0,54.128332862322374,2.7279521674140508,5,81145.91523434901,669
Fast-moving distributor,20724,smooth,3,0.85,200.72106849315068,0.21917963867742302,0.7997512437810945,1.0,1.0743810179465572,101.4798206278027,186,31607.0,669
Fast-moving distributor,20724,smooth,5,0.85,151.5734794520548,0.15021020338597887,0.8252184769038702,1.0,2.158347743080159,66.56203288490283,122,63496.0,669
Fast-moving distributor,20724,smooth,7,0.85,126.8221095890411,0.11635041472559936,0.8139904610492846,1.0,2.395441032546962,51.285500747384155,94,70471.0,669
Fast-moving distributor,20724,smooth,10,0.85,124.61778082191782,0.08226337916145893,0.8905289052890529,1.0,4.497022353632919,34.37219730941704,63,132297.0,669
Fast-moving distributor,20724,smooth,14,0.85,125.90704109589042,0.06510623792750823,0.8967136150234741,1.0,5.685853996043236,26.18834080717489,48,167271.0,669
Fast-moving distributor,20724,smooth,21,0.85,159.18545664747006,0.047153732530394274,0.9651162790697675,1.0,9.28231809019054,17.458893871449924,32,273074.6569195681,669
Fast-moving distributor,20724,smooth,28,0.85,211.00421660379502,0.04101806612884899,0.9972375690607734,1.0,13.648043325697687,13.094170403587444,24,401509.05329638335,669
Fast-moving distributor,20724,smooth,42,0.85,295.7256598214805,0.028973980229519372,0.9922178988326849,1.0,20.41509006527644,8.729446935724962,16,600587.4460872964,669
Fast-moving distributor,20724,smooth,56,0.85,405.24288274635694,0.021588455857288944,0.9895833333333334,1.0,28.69986569669477,6.547085201793722,12,844315.6011907074,669
Fast-moving distributor,20724,smooth,84,0.85,553.4152312404674,0.01590728326326554,1.0,1.0,39.80579070169618,4.364723467862481,8,1171038.58472218,669
Fast-moving distributor,20724,smooth,112,0.85,727.2774864221973,0.012953073514373368,1.0,1.0,52.64066534604922,3.273542600896861,6,1548625.191435894,669
Fast-moving distributor,22741,smooth,3,0.85,120.67637811185052,0.10180661288489945,0.7344262295081967,1.0,5.680162105887486,51.83109118086696,95,55128.69418132612,669
Fast-moving distributor,22741,smooth,5,0.85,93.92265208445326,0.07612771275991365,0.8140947752126367,1.0,6.619528413912931,34.91778774289985,64,64245.69418132612,669
Fast-moving distributor,22741,smooth,7,0.85,87.07626852280943,0.06340188614930121,0.7994269340974212,1.0,7.317175586408302,29.46188340807175,54,71016.69418132612,669
Fast-moving distributor,22741,smooth,10,0.85,77.63637811185052,0.04613112146347006,0.8529411764705882,1.0,8.989632964040094,20.186846038863976,37,87248.69418132612,669
Fast-moving distributor,22741,smooth,14,0.85,78.6994740022615,0.03863197363935916,0.9042553191489362,1.0,10.99458294625652,15.822122571001495,29,106707.69418132612,669
Fast-moving distributor,22741,smooth,21,0.85,83.80837830114666,0.02908760368139984,0.973384030418251,1.0,14.11577329502821,10.911808669656203,20,137000.34164657956,669
Fast-moving distributor,22741,smooth,28,0.85,99.66599341778479,0.023633677991137372,0.985781990521327,1.0,18.508701004983063,8.729446935724962,16,179635.8093970085,669
Fast-moving distributor,22741,smooth,42,0.85,129.3315067745992,0.017270764685831157,0.987012987012987,1.0,26.177451421913364,6.001494768310912,11,254064.70572193357,669
Fast-moving distributor,22741,smooth,56,0.85,151.4834896303934,0.013293943870014771,0.9831932773109243,1.0,31.52038480612809,4.910313901345291,9,305920.43361819757,669
Fast-moving distributor,22741,smooth,84,0.85,212.32590477836396,0.010566981024883536,0.9789473684210527,1.0,45.64368777713672,3.273542600896861,6,442993.8543770755,669
Fast-moving distributor,22741,smooth,112,0.85,282.9532284489147,0.007499147824110896,1.0,1.0,61.710399755298795,2.1823617339312404,4,598928.9904932579,669
Fast-moving distributor,22027,smooth,3,0.42,178.92233424657533,0.185433473468924,0.7013321873657069,1.0,0.8052191272426253,96.5695067264574,177,8353.0,669
Fast-moving distributor,22027,smooth,5,0.42,112.52863561643835,0.12680377229860243,0.7886925795053004,1.0,1.8969354705950416,58.9237668161435,108,19678.0,669
Fast-moving distributor,22027,smooth,7,0.42,96.80906301369863,0.10771503238268379,0.7913188647746243,1.0,2.8521511214806123,49.10313901345292,90,29587.0,669
Fast-moving distributor,22027,smooth,10,0.42,71.66828493150685,0.07908192250880582,0.8529411764705882,1.0,4.049809739565418,33.82660687593423,62,42011.0,669
Fast-moving distributor,22027,smooth,14,0.42,59.68877808219178,0.06260652198613793,0.8973941368078175,1.0,5.733896672754531,25.097159940209266,46,59481.0,669
Fast-moving distributor,22027,smooth,21,0.42,52.215269803850546,0.045903874559709124,0.9619047619047619,1.0,8.88656125546678,16.913303437967116,31,92185.39855244584,669
Fast-moving distributor,22027,smooth,28,0.42,56.86239960566262,0.03795023292807635,0.9709302325581395,1.0,13.346385337531297,13.639760837070254,25,138449.71257222447,669
Fast-moving distributor,22027,smooth,42,0.42,66.23779707859347,0.028973980229519372,0.9883720930232558,1.0,20.624517334384706,9.275037369207773,17,213949.9515915073,669
Fast-moving distributor,22027,smooth,56,0.42,74.19719918639683,0.0206794682422452,0.9837837837837838,1.0,25.63402041364622,7.0926756352765326,13,265916.40122660523,669
Fast-moving distributor,22027,smooth,84,0.42,96.45281922119167,0.01624815361890694,0.9727891156462585,1.0,36.63186196346792,4.910313901345291,9,380003.32161589235,669
Fast-moving distributor,22027,smooth,112,0.42,135.69125210358476,0.012839450062492899,1.0,1.0,54.32451563295753,3.273542600896861,6,563539.3692596243,669
